type,lib,jour,nb,code,Code,flag_url
departement,Ain,2020-03-18,6,NA,NA,NA
departement,Ain,2020-03-19,6,NA,NA,NA
departement,Ain,2020-03-20,6,NA,NA,NA
departement,Ain,2020-03-21,10,NA,NA,NA
departement,Ain,2020-03-22,22,NA,NA,NA
departement,Ain,2020-03-23,54,NA,NA,NA
departement,Ain,2020-03-24,72,NA,NA,NA
departement,Ain,2020-03-25,100,NA,NA,NA
departement,Ain,2020-03-26,116,NA,NA,NA
departement,Ain,2020-03-27,154,NA,NA,NA
departement,Ain,2020-03-28,176,NA,NA,NA
departement,Ain,2020-03-29,192,NA,NA,NA
departement,Ain,2020-03-30,234,NA,NA,NA
departement,Ain,2020-03-31,259,NA,NA,NA
departement,Aisne,2020-03-18,160,NA,NA,NA
departement,Aisne,2020-03-19,220,NA,NA,NA
departement,Aisne,2020-03-20,270,NA,NA,NA
departement,Aisne,2020-03-21,310,NA,NA,NA
departement,Aisne,2020-03-22,346,NA,NA,NA
departement,Aisne,2020-03-23,411,NA,NA,NA
departement,Aisne,2020-03-24,504,NA,NA,NA
departement,Aisne,2020-03-25,546,NA,NA,NA
departement,Aisne,2020-03-30,560,NA,NA,NA
departement,Aisne,2020-03-27,588,NA,NA,NA
departement,Aisne,2020-03-26,594,NA,NA,NA
departement,Aisne,2020-03-28,608,NA,NA,NA
departement,Aisne,2020-03-29,615,NA,NA,NA
departement,Aisne,2020-03-31,676,NA,NA,NA
departement,Allier,2020-03-18,10,NA,NA,NA
departement,Allier,2020-03-19,14,NA,NA,NA
departement,Allier,2020-03-20,22,NA,NA,NA
departement,Allier,2020-03-21,30,NA,NA,NA
departement,Allier,2020-03-22,30,NA,NA,NA
departement,Allier,2020-03-23,52,NA,NA,NA
departement,Allier,2020-03-24,52,NA,NA,NA
departement,Allier,2020-03-25,66,NA,NA,NA
departement,Allier,2020-03-26,86,NA,NA,NA
departement,Allier,2020-03-27,100,NA,NA,NA
departement,Allier,2020-03-28,116,NA,NA,NA
departement,Allier,2020-03-29,126,NA,NA,NA
departement,Allier,2020-03-30,159,NA,NA,NA
departement,Allier,2020-03-31,187,NA,NA,NA
departement,Alpes-de-Haute-Provence,2020-03-18,12,NA,NA,NA
departement,Alpes-de-Haute-Provence,2020-03-19,14,NA,NA,NA
departement,Alpes-de-Haute-Provence,2020-03-20,14,NA,NA,NA
departement,Alpes-de-Haute-Provence,2020-03-21,16,NA,NA,NA
departement,Alpes-de-Haute-Provence,2020-03-22,16,NA,NA,NA
departement,Alpes-de-Haute-Provence,2020-03-23,16,NA,NA,NA
departement,Alpes-de-Haute-Provence,2020-03-24,16,NA,NA,NA
departement,Alpes-de-Haute-Provence,2020-03-25,50,NA,NA,NA
departement,Alpes-de-Haute-Provence,2020-03-26,52,NA,NA,NA
departement,Alpes-de-Haute-Provence,2020-03-27,60,NA,NA,NA
departement,Alpes-de-Haute-Provence,2020-03-28,68,NA,NA,NA
departement,Alpes-de-Haute-Provence,2020-03-29,68,NA,NA,NA
departement,Alpes-de-Haute-Provence,2020-03-30,104,NA,NA,NA
departement,Alpes-de-Haute-Provence,2020-03-31,113,NA,NA,NA
departement,Alpes-Maritimes,2020-03-18,150,NA,NA,NA
departement,Alpes-Maritimes,2020-03-19,174,NA,NA,NA
departement,Alpes-Maritimes,2020-03-20,226,NA,NA,NA
departement,Alpes-Maritimes,2020-03-21,236,NA,NA,NA
departement,Alpes-Maritimes,2020-03-22,242,NA,NA,NA
departement,Alpes-Maritimes,2020-03-23,296,NA,NA,NA
departement,Alpes-Maritimes,2020-03-24,318,NA,NA,NA
departement,Alpes-Maritimes,2020-03-25,383,NA,NA,NA
departement,Alpes-Maritimes,2020-03-26,415,NA,NA,NA
departement,Alpes-Maritimes,2020-03-27,459,NA,NA,NA
departement,Alpes-Maritimes,2020-03-28,492,NA,NA,NA
departement,Alpes-Maritimes,2020-03-29,538,NA,NA,NA
departement,Alpes-Maritimes,2020-03-30,568,NA,NA,NA
departement,Alpes-Maritimes,2020-03-31,621,NA,NA,NA
departement,Ardèche,2020-03-19,23,NA,NA,NA
departement,Ardèche,2020-03-18,24,NA,NA,NA
departement,Ardèche,2020-03-21,40,NA,NA,NA
departement,Ardèche,2020-03-20,41,NA,NA,NA
departement,Ardèche,2020-03-22,52,NA,NA,NA
departement,Ardèche,2020-03-23,67,NA,NA,NA
departement,Ardèche,2020-03-24,81,NA,NA,NA
departement,Ardèche,2020-03-25,167,NA,NA,NA
departement,Ardèche,2020-03-26,189,NA,NA,NA
departement,Ardèche,2020-03-27,214,NA,NA,NA
departement,Ardèche,2020-03-28,266,NA,NA,NA
departement,Ardèche,2020-03-29,272,NA,NA,NA
